label,method,source,start_name,plot_iteration,solver_iteration,stage,objective,l2_h,max_abs_h,load_supplied_pct
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,72,72,rho=1e+02,0.250396844243798,0.05297814588555734,0.017838652680271766,82.34026355703803
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,73,73,rho=1e+02,0.25039824149746726,0.05297787602760002,0.01783565735749723,82.34056811553661
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,74,74,rho=1e+02,0.25038751774789414,0.05297989210850237,0.01783133382284957,82.33999549324828
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,75,75,rho=1e+02,0.25038628096189064,0.05298012058945902,0.01782282685712755,82.3391986084431
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,76,76,rho=1e+02,0.25038612680191497,0.052980147424221954,0.017819415498911334,82.33955430169529
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,77,77,rho=1e+02,0.25039332588984925,0.052978787081072024,0.017815182004252028,82.34075828016957
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,78,78,rho=1e+02,0.25041468653519017,0.05297475141888189,0.017812294500721554,82.34274133005619
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,79,79,rho=1e+02,0.25042633888055726,0.05297255112999349,0.017812108266978238,82.34322118982492
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,80,80,rho=1e+02,0.25044073280320045,0.05296983348980264,0.017811729824146305,82.34412693391643
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,81,81,rho=1e+02,0.2504417408888376,0.05296964293748807,0.01781153931193502,82.34412434689054
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,82,82,rho=1e+02,0.2504401938920032,0.05296993489259889,0.017811861611663843,82.34359758886866
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,83,83,rho=1e+02,0.2504480944571119,0.052968443090146984,0.017812120847000942,82.34410013577639
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,84,84,rho=1e+02,0.25045583921813036,0.0529669806338695,0.01781163918484613,82.3448567099736
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,85,85,rho=1e+02,0.25047325329140674,0.052963692571312476,0.01781107150277239,82.34531757358923
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,86,86,rho=1e+02,0.25047696241523726,0.052962991709001636,0.017811216160304177,82.34570478036646
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,87,87,rho=1e+02,0.2504782225057747,0.05296275356892636,0.01781136663240082,82.34592720965487
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,88,88,rho=1e+02,0.25050390111132537,0.052957904662946996,0.017810844746774024,82.34782182634125
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,89,89,rho=1e+02,0.2505080410120859,0.05295712288208335,0.017810593778738074,82.34802882496686
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,90,90,rho=1e+02,0.2504978703694269,0.05295904331052793,0.017810544544790877,82.3473133372131
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,91,91,rho=1e+02,0.2505009696176508,0.052958458041758964,0.017809945601685667,82.34740063288054
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,92,92,rho=1e+02,0.25050044919961223,0.05295855625091575,0.01780969436733705,82.34746050203198
